time,x,y
1.7547214031219482,857,721
1.7653954029083252,867,723
1.7759175300598145,876,724
1.7868788242340088,881,725
1.7974374294281006,892,726
1.8079700469970703,899,726
1.81850004196167,909,726
1.8290834426879883,914,725
1.839505910873413,923,725
1.850590705871582,927,724
1.861171007156372,935,723
1.8717522621154785,939,722
1.8824059963226318,950,721
1.8927679061889648,960,720
1.9032185077667236,965,719
1.9137122631072998,973,716
1.9242327213287354,977,715
1.9347589015960693,986,712
1.9452874660491943,989,710
1.9557254314422607,999,705
1.966369867324829,1004,702
1.9768552780151367,1014,697
1.9873807430267334,1019,694
1.9978792667388916,1027,690
2.0083255767822266,1032,687
2.018777847290039,1041,681
2.0293803215026855,1045,678
2.0398433208465576,1054,671
2.0507161617279053,1064,663
2.0611822605133057,1069,659
2.0715157985687256,1078,651
2.082139253616333,1082,648
2.092639684677124,1089,641
2.103163719177246,1093,638
2.113602876663208,1100,631
2.1241180896759033,1103,627
2.1346595287323,1111,619
2.145124912261963,1114,615
2.15564227104187,1122,606
2.1663496494293213,1126,601
2.1768875122070312,1133,592
2.187422037124634,1136,588
2.198068141937256,1141,580
2.20863938331604,1147,571
2.219151496887207,1149,566
2.229562520980835,1154,556
2.240046739578247,1156,551
2.2506093978881836,1160,542
2.2612571716308594,1162,538
2.2716784477233887,1167,530
2.282296657562256,1169,525
2.2926878929138184,1173,517
2.3031933307647705,1175,513
2.3137543201446533,1180,503
2.3242549896240234,1182,499
2.334700107574463,1186,489
2.3452301025390625,1187,485
2.3555870056152344,1190,475
2.3663365840911865,1191,471
2.3766887187957764,1194,463
2.3871400356292725,1195,458
2.397608995437622,1196,448
2.4079816341400146,1198,437
2.41841983795166,1198,432
2.4288952350616455,1199,423
2.4393532276153564,1199,418
2.4498867988586426,1199,409
2.460484266281128,1198,403
2.470972776412964,1197,392
2.4814844131469727,1197,386
2.491917848587036,1195,374
2.502614736557007,1194,369
2.513155698776245,1191,357
2.523683547973633,1188,350
2.5341691970825195,1184,337
2.5447309017181396,1182,330
